inv_id,ciudad,categoria,producto,proveedor,stock_actual,stock_minimo,stock_maximo,estado_inventario,costo_unitario,precio_venta,dias_sin_movimiento,ultima_entrada,prox_reabasto
I0001,Tijuana,Electrónica,Televisores,Logística Frontera,26,26,156,Óptimo,733.09,867.71,65,2025-05-19,2025-08-02
I0002,Mexicali,Electrónica,Televisores,Proveedor Norte SA,223,34,204,Sobrestock,761.74,4761.64,50,2025-02-20,2025-08-03
I0003,Ensenada,Electrónica,Televisores,Proveedor Norte SA,56,25,150,En Tránsito,1034.6,4729.36,88,2025-04-11,2025-07-12
I0004,Tecate,Electrónica,Televisores,Distribuidora BC,98,43,258,En Tránsito,983.54,2832.23,64,2025-02-27,2025-07-24
I0005,Rosarito,Electrónica,Televisores,Logística Frontera,127,51,306,En Tránsito,2249.7,7352.97,89,2025-04-12,2025-06-18
I0006,San Quintín,Electrónica,Televisores,Distribuidora BC,152,41,246,En Tránsito,3050.95,4017.0,14,2025-05-07,2025-06-27
I0007,Tijuana,Electrónica,Laptops,Comercial Baja,109,56,336,Óptimo,768.45,6108.34,70,2025-04-11,2025-06-20
I0008,Mexicali,Electrónica,Laptops,Mayoreo TJ,329,68,408,Óptimo,3526.94,6749.76,40,2025-03-15,2025-06-11
I0009,Ensenada,Electrónica,Laptops,Comercial Baja,397,33,198,Sobrestock,276.26,7386.61,36,2025-05-18,2025-07-06
I0010,Tecate,Electrónica,Laptops,Surtimax,13,71,426,Bajo,3455.27,3921.15,45,2025-02-28,2025-06-23
I0011,Rosarito,Electrónica,Laptops,Importaciones Mex,151,27,162,Sobrestock,2122.45,6682.57,5,2025-05-18,2025-07-31
I0012,San Quintín,Electrónica,Laptops,Mayoreo TJ,17,70,420,Bajo,3632.25,2437.01,78,2025-02-19,2025-07-05
I0013,Tijuana,Electrónica,Celulares,Proveedor Norte SA,345,26,156,Sobrestock,3459.59,6927.74,60,2025-05-19,2025-07-28
I0014,Mexicali,Electrónica,Celulares,Comercial Baja,263,56,336,Óptimo,3761.76,5932.78,88,2025-03-24,2025-06-01
I0015,Ensenada,Electrónica,Celulares,Surtimax,0,37,222,Crítico,3761.78,2472.31,63,2025-04-22,2025-07-06
I0016,Tecate,Electrónica,Celulares,Importaciones Mex,71,51,306,Óptimo,2346.2,3670.69,21,2025-05-30,2025-07-20
I0017,Rosarito,Electrónica,Celulares,Surtimax,434,78,468,Sobrestock,1029.56,1229.01,39,2025-03-11,2025-07-30
I0018,San Quintín,Electrónica,Celulares,Mayoreo TJ,370,80,480,Óptimo,4589.59,3058.69,75,2025-03-16,2025-06-09
I0019,Tijuana,Electrónica,Tabletas,Importaciones Mex,148,61,366,En Tránsito,2099.21,1347.82,5,2025-02-11,2025-06-12
I0020,Mexicali,Electrónica,Tabletas,Surtimax,397,29,174,Sobrestock,3600.88,4116.92,30,2025-05-25,2025-07-09
I0021,Ensenada,Electrónica,Tabletas,Mayoreo TJ,381,79,474,Óptimo,3019.47,7295.02,65,2025-04-18,2025-07-15
I0022,Tecate,Electrónica,Tabletas,Comercial Baja,120,52,312,En Tránsito,139.69,3516.14,33,2025-02-08,2025-06-09
I0023,Rosarito,Electrónica,Tabletas,Logística Frontera,105,75,450,Óptimo,2785.57,3172.6,63,2025-04-16,2025-06-16
I0024,San Quintín,Electrónica,Tabletas,Comercial Baja,219,73,438,Óptimo,1919.82,1063.28,50,2025-02-12,2025-05-31
I0025,Tijuana,Electrónica,Audífonos,Importaciones Mex,169,66,396,En Tránsito,585.05,7268.45,37,2025-04-30,2025-07-08
I0026,Mexicali,Electrónica,Audífonos,Logística Frontera,397,51,306,Sobrestock,4933.16,2661.1,88,2025-03-17,2025-06-13
I0027,Ensenada,Electrónica,Audífonos,Proveedor Norte SA,170,57,342,Óptimo,2063.44,541.94,42,2025-03-29,2025-06-20
I0028,Tecate,Electrónica,Audífonos,Abastos del Pacífico,236,20,120,Sobrestock,404.87,5274.95,5,2025-02-11,2025-06-12
I0029,Rosarito,Electrónica,Audífonos,Surtimax,248,71,426,Óptimo,1245.83,1245.38,12,2025-04-04,2025-07-31
I0030,San Quintín,Electrónica,Audífonos,Proveedor Norte SA,382,36,216,Sobrestock,2803.23,4488.73,39,2025-04-05,2025-07-26
I0031,Tijuana,Electrónica,Cargadores,Distribuidora BC,186,62,372,Óptimo,3924.42,5771.17,46,2025-05-09,2025-07-07
I0032,Mexicali,Electrónica,Cargadores,Distribuidora BC,165,80,480,En Tránsito,2122.67,1763.6,31,2025-05-03,2025-06-16
I0033,Ensenada,Electrónica,Cargadores,Abastos del Pacífico,266,54,324,Óptimo,4225.98,6690.2,0,2025-02-09,2025-07-28
