venta_id,fecha,ciudad,sucursal,categoria,producto,proveedor,vendedor,cantidad,precio_unitario,descuento_pct,precio_final,total_venta,metodo_pago,devolucion,costo_unitario,margen_pct
V00001,2024-03-30,San Quintín,San Quintín-Central,Electrónica,Audífonos,Abastos del Pacífico,Vendedor_02,4,1996.89,0,1996.89,7987.56,Efectivo,No,945.38,24.3
V00002,2025-04-04,Rosarito,Rosarito-Principal,Ferretería,Plomería,Logística Frontera,Vendedor_26,8,5742.36,20,4593.89,36751.12,Efectivo,No,3673.4,21.4
V00003,2024-04-04,Tecate,Tecate-Centro,Alimentos,Lácteos,Distribuidora BC,Vendedor_12,4,1761.74,15,1497.48,5989.92,Tarjeta Crédito,No,1058.69,47.3
V00004,2024-10-27,San Quintín,San Quintín-Central,Ferretería,Pinturas,Surtimax,Vendedor_19,3,7786.27,20,6229.02,18687.06,Tarjeta Débito,No,4875.32,16.8
V00005,2025-04-09,Mexicali,Mexicali-Baja,Electrónica,Tabletas,Mayoreo TJ,Vendedor_12,9,6938.55,20,5550.84,49957.56,Tarjeta Crédito,No,3485.77,25.7
V00006,2025-04-18,San Quintín,San Quintín-Central,Ferretería,Tornillería,Logística Frontera,Vendedor_30,6,4296.41,5,4081.59,24489.54,Vale Despensa,No,2169.27,28.0
V00007,2024-11-18,Tijuana,Tijuana-Otay,Electrónica,Cargadores,Comercial Baja,Vendedor_13,7,3239.26,0,3239.26,22674.82,Transferencia,Duplicado,1573.37,20.6
V00008,2024-08-12,San Quintín,San Quintín-Central,Farmacia,Anteojos,Comercial Baja,Vendedor_03,12,7187.69,20,5750.15,69001.8,Efectivo,No cumplió expectativas,4781.8,21.1
V00009,2024-09-14,Mexicali,Mexicali-Nueva,Hogar,Lámparas,Proveedor Norte SA,Vendedor_22,17,3108.9,25,2331.68,39638.56,Efectivo,No,1928.85,36.5
V00010,2024-09-26,Ensenada,Ensenada-Maneadero,Electrónica,Audífonos,Mayoreo TJ,Vendedor_17,1,3506.38,25,2629.78,2629.78,Efectivo,No,2340.96,26.9
V00011,2024-11-27,San Quintín,San Quintín-Central,Ropa,Ropa Interior,Proveedor Norte SA,Vendedor_04,20,6111.96,0,6111.96,122239.2,Tarjeta Crédito,No,4093.06,48.3
V00012,2025-05-12,Ensenada,Ensenada-Centro,Electrónica,Tabletas,Mayoreo TJ,Vendedor_05,3,7030.18,0,7030.18,21090.54,Transferencia,Talla incorrecta,4827.71,21.6
V00013,2025-03-24,Rosarito,Rosarito-Principal,Ropa,Zapatos,Comercial Baja,Vendedor_04,12,5717.94,20,4574.35,54892.2,Tarjeta Débito,No,2894.27,28.5
V00014,2024-03-10,Rosarito,Rosarito-Principal,Ferretería,Plomería,Surtimax,Vendedor_03,8,107.17,0,107.17,857.36,Vale Despensa,Defecto de fábrica,54.6,41.8
V00015,2024-07-13,Mexicali,Mexicali-Nueva,Ropa,Gorras,Distribuidora BC,Vendedor_22,14,1981.83,25,1486.37,20809.18,Transferencia,Talla incorrecta,1067.36,31.4
V00016,2024-09-11,San Quintín,San Quintín-Central,Farmacia,Vitaminas,Importaciones Mex,Vendedor_18,4,531.87,15,452.09,1808.36,Transferencia,Duplicado,257.98,22.3
V00017,2024-01-16,Tecate,Tecate-Centro,Electrónica,Cámaras,Importaciones Mex,Vendedor_06,2,6473.78,0,6473.78,12947.56,Transferencia,Talla incorrecta,3699.18,23.5
V00018,2025-04-10,Tecate,Tecate-Centro,Ropa,Calcetines,Abastos del Pacífico,Vendedor_23,9,67.14,20,53.71,483.39,Vale Despensa,Cambio de opinión,41.32,34.5
V00019,2024-02-28,Mexicali,Mexicali-Baja,Ropa,Camisas,Comercial Baja,Vendedor_17,11,4654.48,0,4654.48,51199.28,Vale Despensa,Defecto de fábrica,2277.71,53.4
V00020,2024-05-02,Tijuana,Tijuana-Otay,Electrónica,Laptops,Importaciones Mex,Vendedor_19,13,5417.94,5,5147.04,66911.52,Vale Despensa,No,2491.9,18.3
V00021,2024-09-28,San Quintín,San Quintín-Central,Alimentos,Carnes Frías,Mayoreo TJ,Vendedor_22,8,5374.32,15,4568.17,36545.36,Tarjeta Crédito,No,3032.76,52.2
V00022,2024-09-28,Tijuana,Tijuana-Garita,Hogar,Lámparas,Surtimax,Vendedor_29,17,632.42,5,600.8,10213.6,Efectivo,No cumplió expectativas,423.61,29.8
